scenario,map_name,target_mode,method,agents,seed,solved,soc,sum_shortest_distances,normalized_cost,initial_solution_cost,first_solution_cost,effective_initial_cost,improvement_pct,wall_time_s
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,1,1,8487,5487,1.5467468562055768,,6453,6453.0,-31.520223152022314,9.340697526931763
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,5,1,7703,5182,1.4864917020455422,,6060,6060.0,-27.112211221122113,9.25821566581726
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,3,1,8441,5556,1.519258459323254,,6630,6630.0,-27.31523378582202,9.344316720962524
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,4,1,9620,5623,1.7108305175173395,,6731,6731.0,-42.92081414351508,9.28562331199646
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,8,1,8176,5558,1.4710327455919396,,6453,6453.0,-26.7007593367426,9.210865020751953
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,25,1,2836,2446,1.1594439901880622,,2825,2825.0,-0.3893805309734513,9.59357237815857
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,9,1,6573,4584,1.4339005235602094,,5369,5369.0,-22.42503259452412,9.167349338531494
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,6,1,8708,5346,1.6288814066591843,,6161,6161.0,-41.3406914461938,9.193182706832886
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,2,1,13945,7277,1.9163116668956988,,9406,9406.0,-48.25643206463959,9.289932012557983
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,11,1,7112,4875,1.4588717948717949,,5639,5639.0,-26.12165277531477,9.143991470336914
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,7,1,7785,4812,1.6178304239401495,,5718,5718.0,-36.14900314795383,9.263744592666626
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,12,1,5111,3711,1.377256804095931,,4205,4205.0,-21.545778834720572,9.201411485671997
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,lacam_focal_h,200,10,1,6849,4343,1.577020492746949,,5190,5190.0,-31.965317919075144,9.2258141040802
