method,method_label,map,scenario,agents,success_rate,n_cases
ir,IR-TAPF,orz900d,060,25,1.0,20
ir,IR-TAPF,orz900d,060,30,1.0,20
ir,IR-TAPF,orz900d,060,35,1.0,20
ir,IR-TAPF,orz900d,060,40,1.0,20
ir,IR-TAPF,orz900d,060,45,1.0,20
ir,IR-TAPF,orz900d,060,50,1.0,20
ir,IR-TAPF,orz900d,060,55,0.95,20
ir,IR-TAPF,orz900d,060,60,0.3,20
ir,IR-TAPF,orz900d,100,15,1.0,20
ir,IR-TAPF,orz900d,100,20,1.0,20
ir,IR-TAPF,orz900d,100,25,1.0,20
ir,IR-TAPF,orz900d,100,30,1.0,20
ir,IR-TAPF,orz900d,100,35,1.0,20
ir,IR-TAPF,orz900d,100,40,1.0,20
ir,IR-TAPF,orz900d,100,45,1.0,20
ir,IR-TAPF,orz900d,100,50,1.0,20
ir,IR-TAPF,orz900d,100,55,1.0,20
ir,IR-TAPF,orz900d,100,60,0.95,20
ir,IR-TAPF,orz900d,G,10,1.0,20
ir,IR-TAPF,orz900d,G,20,1.0,20
ir,IR-TAPF,orz900d,G,30,1.0,20
ir,IR-TAPF,orz900d,G,40,1.0,20
ir,IR-TAPF,orz900d,G,50,1.0,20
ir,IR-TAPF,orz900d,G,60,1.0,20
ir,IR-TAPF,orz900d,G,70,1.0,20
ir,IR-TAPF,orz900d,G,80,1.0,20
ir,IR-TAPF,orz900d,G,90,1.0,20
ir,IR-TAPF,orz900d,G,100,1.0,20
ir,IR-TAPF,orz900d,G,110,1.0,20
ir,IR-TAPF,orz900d,G,120,1.0,20
ir,IR-TAPF,orz900d,G,130,1.0,20
ir,IR-TAPF,orz900d,G,140,1.0,20
ir,IR-TAPF,orz900d,G,150,1.0,20
ir,IR-TAPF,orz900d,G,160,1.0,20
ir,IR-TAPF,orz900d,G,170,1.0,20
ir,IR-TAPF,orz900d,G,180,1.0,20
ir,IR-TAPF,orz900d,G,190,1.0,20
ir,IR-TAPF,orz900d,G,200,1.0,20
ir,IR-TAPF,random-32-32-10,000,15,1.0,20
ir,IR-TAPF,random-32-32-10,000,20,1.0,20
ir,IR-TAPF,random-32-32-10,000,25,1.0,20
ir,IR-TAPF,random-32-32-10,000,30,1.0,20
ir,IR-TAPF,random-32-32-10,000,35,1.0,20
ir,IR-TAPF,random-32-32-10,000,40,1.0,20
ir,IR-TAPF,random-32-32-10,000,45,1.0,20
ir,IR-TAPF,random-32-32-10,000,50,1.0,20
ir,IR-TAPF,random-32-32-10,000,55,1.0,20
ir,IR-TAPF,random-32-32-10,000,60,1.0,20
ir,IR-TAPF,random-32-32-10,030,15,1.0,20
ir,IR-TAPF,random-32-32-10,030,20,1.0,20
ir,IR-TAPF,random-32-32-10,030,25,1.0,20
ir,IR-TAPF,random-32-32-10,030,30,1.0,20
ir,IR-TAPF,random-32-32-10,030,35,1.0,20
ir,IR-TAPF,random-32-32-10,030,40,1.0,20
ir,IR-TAPF,random-32-32-10,030,45,1.0,20
ir,IR-TAPF,random-32-32-10,030,50,1.0,20
ir,IR-TAPF,random-32-32-10,030,55,1.0,20
ir,IR-TAPF,random-32-32-10,030,60,1.0,20
ir,IR-TAPF,random-32-32-10,060,15,1.0,20
ir,IR-TAPF,random-32-32-10,060,20,1.0,20
ir,IR-TAPF,random-32-32-10,060,25,1.0,20
ir,IR-TAPF,random-32-32-10,060,30,1.0,20
ir,IR-TAPF,random-32-32-10,060,35,1.0,20
ir,IR-TAPF,random-32-32-10,060,40,1.0,20
ir,IR-TAPF,random-32-32-10,060,45,1.0,20
ir,IR-TAPF,random-32-32-10,060,50,1.0,20
ir,IR-TAPF,random-32-32-10,060,55,1.0,20
ir,IR-TAPF,random-32-32-10,060,60,1.0,20
ir,IR-TAPF,random-32-32-10,100,15,1.0,20
ir,IR-TAPF,random-32-32-10,100,20,1.0,20
ir,IR-TAPF,random-32-32-10,100,25,0.95,20
ir,IR-TAPF,random-32-32-10,100,30,0.85,20
ir,IR-TAPF,random-32-32-10,100,35,0.8,20
ir,IR-TAPF,random-32-32-10,100,40,0.8,20
ir,IR-TAPF,random-32-32-10,100,45,0.5,20
ir,IR-TAPF,random-32-32-10,100,50,0.65,20
ir,IR-TAPF,random-32-32-10,100,55,0.45,20
ir,IR-TAPF,random-32-32-10,100,60,0.25,20
ir,IR-TAPF,random-32-32-10,G,10,1.0,20
ir,IR-TAPF,random-32-32-10,G,20,1.0,20
ir,IR-TAPF,random-32-32-10,G,30,1.0,20
ir,IR-TAPF,random-32-32-10,G,40,1.0,20
ir,IR-TAPF,random-32-32-10,G,50,1.0,20
ir,IR-TAPF,random-32-32-10,G,60,1.0,20
ir,IR-TAPF,random-32-32-10,G,70,1.0,20
ir,IR-TAPF,random-32-32-10,G,80,1.0,20
ir,IR-TAPF,random-32-32-10,G,90,1.0,20
ir,IR-TAPF,random-32-32-10,G,100,1.0,20
ir,IR-TAPF,random-32-32-10,G,110,1.0,20
ir,IR-TAPF,random-32-32-10,G,120,1.0,20
ir,IR-TAPF,random-32-32-10,G,130,1.0,20
ir,IR-TAPF,random-32-32-10,G,140,1.0,20
ir,IR-TAPF,random-32-32-10,G,150,1.0,20
ir,IR-TAPF,random-32-32-10,G,160,1.0,20
ir,IR-TAPF,random-32-32-10,G,170,1.0,20
ir,IR-TAPF,random-32-32-10,G,180,1.0,20
ir,IR-TAPF,random-32-32-10,G,190,1.0,20
ir,IR-TAPF,random-32-32-10,G,200,1.0,20
ir,IR-TAPF,room-64-64-8,000,15,1.0,20
ir,IR-TAPF,room-64-64-8,000,20,1.0,20
ir,IR-TAPF,room-64-64-8,000,25,1.0,20
ir,IR-TAPF,room-64-64-8,000,30,1.0,20
ir,IR-TAPF,room-64-64-8,000,35,1.0,20
ir,IR-TAPF,room-64-64-8,000,40,1.0,20
ir,IR-TAPF,room-64-64-8,000,45,1.0,20
ir,IR-TAPF,room-64-64-8,000,50,1.0,20
ir,IR-TAPF,room-64-64-8,000,55,1.0,20
ir,IR-TAPF,room-64-64-8,000,60,1.0,20
ir,IR-TAPF,room-64-64-8,030,15,1.0,20
ir,IR-TAPF,room-64-64-8,030,20,1.0,20
ir,IR-TAPF,room-64-64-8,030,25,1.0,20
ir,IR-TAPF,room-64-64-8,030,30,1.0,20
ir,IR-TAPF,room-64-64-8,030,35,1.0,20
ir,IR-TAPF,room-64-64-8,030,40,1.0,20
ir,IR-TAPF,room-64-64-8,030,45,1.0,20
ir,IR-TAPF,room-64-64-8,030,50,1.0,20
ir,IR-TAPF,room-64-64-8,030,55,1.0,20
ir,IR-TAPF,room-64-64-8,030,60,1.0,20
ir,IR-TAPF,room-64-64-8,060,15,1.0,20
ir,IR-TAPF,room-64-64-8,060,20,1.0,20
ir,IR-TAPF,room-64-64-8,060,25,1.0,20
ir,IR-TAPF,room-64-64-8,060,30,1.0,20
ir,IR-TAPF,room-64-64-8,060,35,1.0,20
ir,IR-TAPF,room-64-64-8,060,40,1.0,20
ir,IR-TAPF,room-64-64-8,060,45,1.0,20
ir,IR-TAPF,room-64-64-8,060,50,1.0,20
ir,IR-TAPF,room-64-64-8,060,55,1.0,20
ir,IR-TAPF,room-64-64-8,060,60,1.0,20
ir,IR-TAPF,room-64-64-8,100,15,1.0,20
ir,IR-TAPF,room-64-64-8,100,20,0.95,20
ir,IR-TAPF,room-64-64-8,100,25,1.0,20
ir,IR-TAPF,room-64-64-8,100,30,0.95,20
ir,IR-TAPF,room-64-64-8,100,35,1.0,20
ir,IR-TAPF,room-64-64-8,100,40,0.85,20
ir,IR-TAPF,room-64-64-8,100,45,0.7,20
ir,IR-TAPF,room-64-64-8,100,50,0.65,20
ir,IR-TAPF,room-64-64-8,100,55,0.8,20
ir,IR-TAPF,room-64-64-8,100,60,0.7,20
ir,IR-TAPF,room-64-64-8,G,10,1.0,20
ir,IR-TAPF,room-64-64-8,G,20,0.95,20
ir,IR-TAPF,room-64-64-8,G,30,0.95,20
ir,IR-TAPF,room-64-64-8,G,40,1.0,20
ir,IR-TAPF,room-64-64-8,G,50,1.0,20
ir,IR-TAPF,room-64-64-8,G,60,0.95,20
ir,IR-TAPF,room-64-64-8,G,70,0.9,20
ir,IR-TAPF,room-64-64-8,G,80,0.9,20
ir,IR-TAPF,room-64-64-8,G,90,0.85,20
ir,IR-TAPF,room-64-64-8,G,100,0.9,20
ir,IR-TAPF,room-64-64-8,G,110,0.95,20
ir,IR-TAPF,room-64-64-8,G,120,0.8,20
ir,IR-TAPF,room-64-64-8,G,130,0.9,20
ir,IR-TAPF,room-64-64-8,G,140,0.85,20
ir,IR-TAPF,room-64-64-8,G,150,0.9,20
ir,IR-TAPF,room-64-64-8,G,160,0.75,20
ir,IR-TAPF,room-64-64-8,G,170,0.85,20
ir,IR-TAPF,room-64-64-8,G,180,0.85,20
ir,IR-TAPF,room-64-64-8,G,190,0.8,20
ir,IR-TAPF,room-64-64-8,G,200,0.7,20
ir,IR-TAPF,symbotic,000,15,1.0,20
ir,IR-TAPF,symbotic,000,20,1.0,20
ir,IR-TAPF,symbotic,000,25,1.0,20
ir,IR-TAPF,symbotic,000,30,1.0,20
ir,IR-TAPF,symbotic,000,35,1.0,20
ir,IR-TAPF,symbotic,000,40,1.0,20
ir,IR-TAPF,symbotic,000,45,1.0,20
ir,IR-TAPF,symbotic,000,50,1.0,20
ir,IR-TAPF,symbotic,000,55,1.0,20
ir,IR-TAPF,symbotic,000,60,1.0,20
ir,IR-TAPF,symbotic,030,15,1.0,20
ir,IR-TAPF,symbotic,030,20,1.0,20
ir,IR-TAPF,symbotic,030,25,1.0,20
ir,IR-TAPF,symbotic,030,30,1.0,20
ir,IR-TAPF,symbotic,030,35,1.0,20
ir,IR-TAPF,symbotic,030,40,1.0,20
ir,IR-TAPF,symbotic,030,45,1.0,20
ir,IR-TAPF,symbotic,030,50,1.0,20
