anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,case_id,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,makespan,map_file,matrix_file,method,moves_valid,num_agents,num_unique_tasks,open_max_size,pibt_calls,pibt_failures,pibt_recursions,runtime_ms,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,suite,sum_of_loss,swap_applied,swap_checks,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
1,1,10787,9,1618.66,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_17,1,7352,88667,18146,0,0,21,9,5557,22,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_17.yaml,h,1.5,0,1,8,18147,10787,10787,0,1,113,,,lacam_focal_h,1,160,,10786,1805197,14699,229559,9119,focal,focal,17,6585,5557,113,5557,1,lacam_tapf,1,,exp1,5565,129613,1805197,10.0,0,1,1,1,9.263643980026245
1,1,10718,8,1170.99,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_19,1,5286,63836,16059,0,0,20,8,6006,19,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_19.yaml,h,1.5,0,1,56,16060,10718,10718,0,1,118,,,lacam_focal_h,1,160,,10717,1872415,5343,159871,9114,focal,focal,19,6994,6006,118,6006,1,lacam_tapf,1,,exp1,6010,143677,1872415,10.0,0,1,1,1,9.253368854522705
1,1,9280,224,1480.62,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_9,1,10198,84683,19478,0,0,24,10,7108,34,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_9.yaml,h,1.5,0,1,1,19479,9280,9280,0,1,130,,,lacam_focal_h,1,170,,9279,1648260,45529,315282,9065,focal,focal,9,9397,7108,130,7108,1,lacam_tapf,1,,exp1,7154,111824,1648260,10.0,0,1,1,1,9.198064088821411
1,1,9460,5802,1678.03,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_13,1,3889,61577,13357,0,0,62,26,11461,77,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_13.yaml,h,1.5,0,1,9,13358,9460,9460,0,1,396,,,lacam_focal_h,1,170,,9460,1669015,32163,341055,9073,focal,focal,13,15894,11461,396,11461,1,lacam_tapf,1,,exp1,11821,124095,1669015,10.0,0,1,1,1,9.198933362960815
1,1,10104,393,1428.82,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_4,1,12008,96531,22124,0,0,25,9,6725,42,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_4.yaml,h,1.5,0,1,13,22125,10104,10104,0,1,181,,,lacam_focal_h,1,170,,10104,2200124,27739,373197,9086,focal,focal,4,8437,6725,181,6725,1,lacam_tapf,1,,exp1,6747,129076,2200124,10.0,0,1,1,1,9.225337266921997
1,1,11638,9,1888.73,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_18,1,2837,64087,14475,0,0,21,9,7499,43,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_18.yaml,h,1.5,0,1,1,14476,11638,11638,0,1,236,,,lacam_focal_h,1,160,,11637,1775665,1480,340073,9127,focal,focal,18,9729,7499,236,7499,1,lacam_tapf,1,,exp1,7542,150993,1775665,10.0,0,1,1,1,9.267460107803345
1,1,10296,7,1926.13,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_12,1,1717,58216,12012,0,0,18,7,7506,44,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_12.yaml,h,1.5,0,1,0,12013,10296,10296,0,1,167,,,lacam_focal_h,1,170,,10295,1773258,12450,331719,9075,focal,focal,12,9154,7506,167,7506,1,lacam_tapf,1,,exp1,7545,96214,1773258,10.0,0,1,1,1,9.203090906143188
1,1,10056,7,1726.7,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_11,1,4748,73609,14872,0,0,22,7,9714,86,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_11.yaml,h,1.5,0,1,69,14873,10056,10056,0,1,426,,,lacam_focal_h,1,170,,10055,1967255,30769,338307,9071,focal,focal,11,12787,9714,426,9714,1,lacam_tapf,1,,exp1,9798,56197,1967255,10.0,0,1,1,1,9.204254865646362
1,1,12983,6,1565.33,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_15,1,2052,56839,15034,0,0,17,6,8728,55,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_15.yaml,h,1.5,0,1,0,15035,12983,12983,0,1,337,,,lacam_focal_h,1,160,,12982,1910966,33,283405,9141,focal,focal,15,11457,8728,337,8728,1,lacam_tapf,1,,exp1,8749,101905,1910966,10.0,0,1,1,1,9.28864574432373
1,1,10710,1224,1902.57,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_2,1,7384,82135,18126,0,0,25,10,10796,46,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_2.yaml,h,1.5,0,1,33,18127,10710,10710,0,1,308,,,lacam_focal_h,1,170,,10709,2211188,16479,586731,9107,focal,focal,2,14539,10796,308,10796,1,lacam_tapf,1,,exp1,10809,50800,2211188,10.0,0,1,1,1,9.237433910369873
